"","V1"
"309","2.8,3,3.8,2.9,2.7,2.7,3.3,2.9,2.8"
"310","3.6,3.1,4.1,3.1,2.8,2.7,3.1,3,3"
"311","4.1,3.2,4.3,3.5,3.2,3.2,2.9,3.3,3.2"
"312","3.5,3.2,4.2,3.6,3.1,3.7,2.6,3.3,3.2"
"313","4,3.1,4.5,3.6,3.5,3.4,2.4,3.4,3.2"
"314","4.5,3.6,4.7,3.8,3.5,4.2,2.7,3.9,3.7"
"315","5.2,3.6,5.3,4.3,3.9,4.7,2.8,3.8,3.7"
"316","4.4,3.4,4.7,4.1,3.6,4.6,2.5,3.6,3.4"
"317","3.3,3.2,3.8,4.1,3.7,4.4,2.3,3.2,3.3"
"318","2.8,3.2,3.3,3.7,3.5,3.5,2.3,3.2,3.2"
"319","2.5,3,3.6,2.9,2.6,3,2.9,2.9,2.8"
"320","2.7,2.9,3.7,2.5,2.3,2.4,3.3,2.8,2.6"
"321","3.1,3.2,4.1,2.8,2.5,2.6,3.5,3.1,3"
"322","3.8,3.2,4.4,3,2.6,2.6,3.2,3.1,3.1"
"323","4.2,3.2,4.5,3.4,2.9,3.3,2.9,3.3,3.2"
"324","3.4,3.2,4.2,3.4,3,3.8,2.6,3.3,3.2"
"325","3.6,3.1,4.4,3.6,3.6,4,2.4,3.4,3.2"
"326","4.5,3.5,4.8,3.7,3.3,4.4,2.6,3.8,3.6"
"327","4.9,3.8,5.1,4.2,3.9,4.7,2.9,4,3.9"
"328","4.6,3.6,5.1,4.3,4,4.6,2.7,3.8,3.7"
"329","3.7,3.5,4.4,4.4,4.3,4.3,2.5,3.5,3.6"
"330","2.9,3.1,3.6,3.8,3.6,3.8,2.3,3.1,3.1"
"331","2.6,3,3.7,3.1,2.8,3.1,2.8,2.9,2.8"
"332","2.8,3.2,3.7,2.9,2.8,2.7,3.4,3.1,2.9"
"333","2.9,3.3,3.8,2.9,2.7,2.5,3.6,3.2,3.1"
"334","4,3.6,4.5,3.1,2.7,2.7,3.4,3.5,3.5"
"335","4.4,3.3,4.5,3.4,3,3.2,3.1,3.4,3.3"
"336","3.6,3.3,4.5,3.9,3.5,3.9,2.8,3.4,3.4"
"337","4.4,3.6,5,3.6,3.5,4.1,2.9,3.8,3.6"
"338","4.5,3.6,5,4,3.5,3.9,2.7,3.8,3.6"
"339","5,3.9,5.3,4.3,4,4.6,3.2,4.1,4"
"340","4.4,3.7,4.9,4.2,3.8,4.8,2.8,3.8,3.8"
"341","3.4,3.4,4.1,4,3.7,4.2,2.6,3.4,3.4"
"342","3,3.4,3.8,3.6,3.3,3.6,2.6,3.2,3.3"
"343","2.7,3.2,3.6,2.9,2.6,2.9,3.1,3.2,3"
"344","2.5,2.8,3.7,2.7,2.5,2.5,3.1,2.8,2.6"
"345","2.9,2.9,3.9,2.9,2.6,2.4,3.3,2.8,2.7"
"346","3.6,3.2,4.2,3,2.7,2.5,3.2,3,3.1"
"347","4.2,3.2,4.6,3.5,3.1,3.2,3,3.2,3.1"
"348","3.5,3.2,4.2,3.7,3.3,3.9,2.6,3.3,3.2"
"349","3.9,3.3,4.5,3.4,3.2,3.7,2.6,3.6,3.3"
"350","4.1,3.3,4.4,4.1,4.1,3.9,2.5,3.5,3.4"
"351","4.8,3.6,5,4.6,4.5,4.5,2.7,3.8,3.7"
"352","4.4,3.5,4.6,4.3,3.9,4.9,2.7,3.6,3.5"
"353","3.3,3.2,3.8,4,3.7,4.4,2.4,3.3,3.3"
"354","2.9,3.1,3.3,3.6,3.3,3.4,2.3,3,3"
"355","2.6,3.1,3.5,2.9,2.5,3.1,2.9,3.1,2.9"
"356","2.6,2.9,3.6,2.6,2.5,2.6,3.3,2.8,2.6"
"357","2.8,2.9,3.6,2.9,2.7,2.6,3.4,2.9,2.7"
"358","3.6,3.2,4.1,3.1,2.7,2.6,3.3,3.1,3.1"
"359","4,3.2,4.2,3.4,3,3.1,3.1,3.2,3.2"
"360","3.5,3.2,4.2,3.8,3.5,3.8,2.7,3.3,3.3"
"361","3.7,3,4.3,3.4,3.3,4,2.3,3.2,3.1"
"362","4.5,3.5,4.7,3.6,3.2,4,2.7,3.7,3.5"
"363","4.6,3.5,4.9,4.5,4.2,4.5,2.7,3.7,3.6"
"364","3.8,3.5,4.4,4.9,4.8,4.8,2.5,3.6,3.6"
"365","3.3,3.3,3.9,4,3.7,4.4,2.4,3.3,3.3"
"366","3,3.3,3.7,3.5,3.3,3.5,2.5,3.2,3.3"
"367","2.8,3.2,3.8,3,2.7,3.1,3.1,3.2,3"
"368","2.7,3,3.8,2.6,2.4,2.7,3.4,2.9,2.7"
"369","2.8,3,3.8,3,2.7,2.7,3.4,2.9,2.8"
"370","3.7,3.2,4.1,3.1,2.7,2.8,3.2,3.1,3.1"
"371","4.1,3.2,4.3,3.5,3,3.2,3,3.2,3.2"
"372","3.3,3.3,4.1,3.6,3.1,3.6,2.7,3.4,3.3"
"373","3.8,3.2,4.4,3.3,3,3.9,2.5,3.4,3.2"
"374","4.7,3.4,5,3.7,3.4,4.1,2.6,3.6,3.4"
"375","5.1,3.8,5,3.7,3.5,4.9,3,4,3.9"
"376","4.6,3.6,4.8,4,3.7,4.7,2.8,3.7,3.6"
"377","3.7,3.3,4.3,3.6,3.3,4.2,2.6,3.4,3.4"
"378","2.9,3.1,3.4,3.3,3,3.3,2.4,3,3"
"379","2.7,3.1,3.8,2.8,2.5,3.1,3.1,3,2.8"
"380","2.5,2.8,3.5,2.5,2.3,2.6,3.2,2.7,2.5"
"381","2.9,2.9,3.8,2.5,2.3,2.5,3.4,2.8,2.7"
"382","3.8,3.2,4.3,2.9,2.5,2.8,3.3,3.1,3.1"
"383","4.3,3.1,4.6,3.1,2.6,3.2,2.8,3.1,3"
"384","3.5,3.2,4.4,3.4,3,3.7,2.6,3.2,3.1"
"385","3.8,3.2,4.3,3.3,3.2,4,2.6,3.5,3.3"
"386","4.7,3.7,4.9,3.9,3.7,4,2.9,3.9,3.7"
"387","4.9,3.7,5,4.5,4.4,4.6,2.8,4,3.8"
"388","4.7,3.7,5,4.4,4.1,4.7,2.9,3.9,3.7"
"389","3.4,3.3,3.9,4,3.8,4.2,2.5,3.4,3.3"
"390","2.9,3.2,3.5,3.4,3.1,3.5,2.4,3.1,3.1"
"391","2.5,2.9,3.5,2.7,2.4,3,2.8,2.8,2.7"
"392","2.4,2.9,3.4,2.4,2.2,2.5,3.1,2.8,2.6"
"393","2.7,2.8,3.8,2.7,2.4,2.5,3.1,2.7,2.6"
"394","3.6,3.1,4.2,2.9,2.4,2.7,3.1,3,3"
"395","4.1,3,4.4,3.3,2.8,3.2,2.7,3,3"
"396","3.5,3.2,4.3,3.6,3.1,3.6,2.6,3.3,3.2"
"397","3.8,3.2,4.4,3.5,3.5,4,2.5,3.5,3.3"
"398","4.1,3.5,4.5,4.1,3.8,4,2.6,3.7,3.6"
"399","4.8,3.7,5,4.1,4,4.7,2.8,3.9,3.9"
"400","4.5,3.6,4.8,4.1,3.8,4.7,2.7,3.8,3.7"
"401","3.7,3.4,4.2,4,3.8,4.3,2.7,3.5,3.4"
"402","3.1,3.2,3.8,3.5,3.2,3.6,2.4,3.1,3.1"
"403","2.5,3.2,3.6,2.8,2.5,3.1,2.9,3.2,3"
"404","2.6,3,3.6,2.6,2.4,2.7,3.2,2.9,2.8"
"405","2.9,3.2,3.9,2.7,2.5,2.6,3.4,3.1,2.9"
"406","3.8,3.2,4.4,3,2.6,2.7,3.2,3.1,3.1"
"407","4.1,3.2,4.2,3.3,2.9,3.2,3,3.3,3.2"
"408","3.9,3.7,4.6,3.3,2.9,3.8,3,3.8,3.7"
"409","4.1,3.2,4.8,3.3,3.2,3.9,2.6,3.5,3.3"
"410","4.7,3.5,5,3.6,3.3,4.2,2.6,3.6,3.6"
"411","4.9,3.7,5,4.2,3.9,4.6,2.9,3.9,3.8"
"412","4.4,3.3,4.8,4.1,4,5,2.5,3.4,3.4"
"413","3.6,3.2,4.1,3.7,3.5,4.2,2.5,3.2,3.3"
"414","2.9,3.2,3.5,3.4,3.1,3.6,2.4,3.1,3.2"
"415","2.7,3,3.9,2.7,2.4,3,2.9,3,2.9"
"416","2.5,2.8,3.5,2.5,2.3,2.5,3,2.7,2.5"
"417","2.8,2.9,4,2.6,2.4,2.4,3.5,2.9,2.7"
"418","3.7,3.4,4.2,2.8,2.5,2.6,3.4,3.3,3.2"
"419","4.1,3.3,4.3,3.2,2.7,3.2,3,3.4,3.2"
"420","3.3,3.1,4.2,3.6,3.3,3.8,2.5,3.2,3.1"
"421","3.6,3.2,4.4,3.7,3.7,4,2.5,3.5,3.3"
"422","4.6,3.6,4.7,3.9,3.7,4.1,2.7,3.8,3.6"
"423","4.8,3.8,5,4.5,4.3,4.6,2.9,4,3.9"
"424","4.2,3.6,4.7,3.9,3.7,4.9,2.7,3.7,3.6"
"425","3.6,3.4,3.9,3.9,3.5,4.3,2.6,3.5,3.5"
"426","2.8,3.2,3.4,3.5,3.2,3.7,2.4,3,3.1"
"427","2.7,2.9,3.9,2.8,2.5,3.1,2.8,2.9,2.7"
"428","2.5,2.8,3.7,2.5,2.3,2.6,3.1,2.6,2.5"
"429","2.9,3.1,3.8,2.6,2.4,2.6,3.5,3,2.9"
"430","3.7,3.2,4.2,2.9,2.5,2.8,3.2,3.1,3.1"
"431","4,3.2,4.3,3.2,2.7,3,3.1,3.2,3.1"
"432","3.6,3.3,4.4,3.6,3.3,3.7,2.7,3.4,3.3"
"433","4.2,3.2,4.9,3.4,3.2,4.2,2.7,3.5,3.2"
"434","4.7,3.5,4.9,3.9,3.5,4.4,2.8,3.7,3.5"
"435","4.7,3.7,4.9,4.3,3.9,4.8,2.9,3.9,3.8"
"436","4.5,3.5,4.8,4.3,4,4.9,2.7,3.7,3.5"
"437","3.3,3.1,3.9,4,3.6,4.2,2.4,3.2,3.3"
"438","2.8,3.2,3.5,3.2,3,3.6,2.6,3.1,3.1"
"439","2.7,3,3.7,2.7,2.5,3,2.9,2.9,2.8"
"440","2.6,2.8,3.6,2.7,2.4,2.7,3.2,2.7,2.5"
"441","3,3,4,2.5,2.3,2.6,3.5,2.9,2.8"
"442","3.7,3.2,4.3,2.8,2.2,2.7,3.2,3.1,3"
"443","4.1,3.2,4.2,3.3,2.8,3.2,3,3.2,3.1"
"444","3.6,3.2,4.4,3.7,3.4,3.7,2.7,3.2,3.2"
"445","4.2,3.2,4.9,3.7,3.2,4,2.6,3.4,3.3"
"446","4.8,3.5,5.1,3.9,3.4,4.4,2.7,3.8,3.6"
"447","5.1,3.7,5.2,4.9,4.3,4.6,2.9,3.9,3.8"
"448","4.4,3.7,4.6,4.1,3.8,4.7,2.8,3.9,3.8"
"449","2.9,3.2,3.7,3.7,3.4,4.2,2.3,3.2,3.3"
"450","2.7,2.9,3.5,3.3,3,3.5,2.2,2.9,2.9"
"451","2.5,3.1,3.5,2.6,2.2,3.1,3,3.1,2.9"
"452","2.5,2.8,3.5,2.4,2.3,2.7,3.2,2.7,2.5"
"453","2.8,3,3.8,2.5,2.4,2.7,3.4,2.9,2.8"
"454","3.9,3.4,4.4,3.3,2.7,2.9,3.6,3.3,3.2"
"455","3.6,3.2,3.3,3.2,2.8,3.4,3,3.2,3.1"
"456","3.2,3.2,4,3.4,2.9,3.9,2.6,3.3,3.2"
"457","3.8,3,4.4,3.6,3.1,4.2,2.3,3.3,3.1"
"458","4.3,3.5,4.7,3.8,3.5,4.3,2.6,3.8,3.6"
"459","4.3,3.8,4.7,4.5,4.2,4.8,2.9,3.9,3.9"
"460","4.4,3.8,4.9,4.7,4.5,4.7,2.8,3.9,3.8"
"461","3.2,3.2,3.9,4.2,3.9,4.3,2.3,3.3,3.3"
"462","2.8,3,3.6,3.6,3.4,3.6,2.3,2.9,3"
"463","2.7,3.2,3.7,3.1,2.7,3,3.2,3.2,3"
"464","2.6,2.8,3.7,2.4,2.2,2.5,3.3,2.7,2.5"
"465","2.7,3,3.8,2.8,2.6,2.5,3.4,2.8,2.7"
"466","3.6,3.2,4.1,3,2.5,2.5,3.3,3,3"
"467","4.4,3.2,4.9,3.3,2.8,3.2,3,3.2,3.1"
"468","3.6,3.2,4.4,3.7,3.3,3.8,2.7,3.3,3.2"
"469","4,3.3,4.7,3.3,3.1,4.2,2.5,3.6,3.4"
"470","4.6,3.5,5,3.8,3.4,4.3,2.7,3.7,3.5"
"471","5.2,4,5.3,4.4,4.1,4.8,3,4.2,4"
"472","4.1,3.3,4.7,4.2,3.8,5,2.4,3.6,3.5"
"473","3.1,3.3,3.8,3.8,3.4,4.1,2.5,3.3,3.3"
"474","2.9,3.3,3.6,3.6,3.3,3.4,2.7,3.2,3.1"
"475","2.7,3.3,3.7,3,2.6,3,3.2,3.2,3"
"476","2.6,3,3.5,2.3,2.2,2.5,3.4,2.9,2.6"
"477","2.7,2.7,3.8,2.8,2.7,2.4,3.1,2.6,2.5"
"478","3.7,3.2,4.3,2.8,2.4,2.5,3.3,3.1,3"
"479","4.2,3.2,4.6,3,2.5,3.2,3.2,3.1,3.1"
"480","3.4,3.2,4.3,3.5,3.2,3.8,2.6,3.2,3.2"
"481","3.9,3.1,4.6,3.6,3.3,4.1,2.5,3.4,3.2"
"482","4.7,3.5,4.9,4,3.7,4.4,2.7,3.7,3.6"
"483","5.2,3.8,5.3,4.6,4.4,4.5,3,3.9,3.9"
"484","4.5,3.6,4.7,4.7,4.4,4.8,2.7,3.7,3.6"
"485","3.5,3.4,4.1,4.2,3.9,4.4,2.6,3.4,3.4"
"486","3.1,3.3,3.9,3.8,3.4,3.6,2.7,3.3,3.2"
"487","2.6,3.2,3.7,2.9,2.6,3.1,3,3.1,3"
"488","2.8,3.4,3.9,2.6,2.4,2.5,3.6,3.3,2.9"
"489","3,3.1,4,2.7,2.4,2.7,3.6,3.1,2.9"
"490","3.7,3.2,4.3,3.1,2.6,2.6,3.2,3,3.1"
"491","4.2,3.1,4.5,3.4,2.9,3.2,3,3.1,3.1"
"492","3.6,3.3,4.4,3.8,3.3,3.8,2.7,3.5,3.3"
"493","3.7,3.1,4.5,3.7,3.4,4.1,2.4,3.4,3.2"
"494","4.4,3.7,4.7,4.1,3.5,4.3,2.7,3.9,3.7"
"495","4.8,3.9,5.1,4.7,4.4,4.6,3.1,4.1,4.1"
"496","4.6,3.7,4.9,4.6,4.3,4.8,2.9,3.9,3.7"
"497","3.3,3.4,3.8,4.1,3.8,4.3,2.6,3.4,3.5"
"498","2.9,3.3,3.6,3.5,3.3,3.6,2.6,3.2,3.3"
"499","2.6,3.2,3.5,2.9,2.6,3,3,3.1,3"
"500","2.6,2.9,3.6,2.4,2.5,2.6,3.1,2.8,2.6"
"501","3,3,4.1,2.4,2.3,2.6,3.5,2.9,2.8"
"502","3.9,3.2,4.4,3,2.6,2.7,3.3,3.1,3.1"
"503","4.3,3.3,4.5,3.6,3,3.1,3.1,3.3,3.3"
"504","3.6,3.3,4.3,3.8,3.2,3.8,2.7,3.4,3.3"
"505","4.1,3.1,4.7,3.8,3.4,4.2,2.4,3.4,3.2"
"506","4.4,3.6,4.7,3.5,3.2,4,2.6,3.8,3.7"
"507","4.6,4,4.7,4.5,4.2,4.7,3.1,4.1,4.1"
"508","4.2,3.7,4.7,4.4,4.1,4.9,2.8,3.9,3.7"
"509","3,3.4,3.7,3.9,3.6,4.4,2.5,3.5,3.5"
"510","3,3.4,3.8,3.7,3.4,3.7,2.5,3.3,3.3"
"511","2.7,3.2,3.8,3,2.7,3,3.1,3.1,3"
"512","2.7,3.1,3.7,2.5,2.4,2.7,3.4,3,2.8"
"513","2.9,3.1,3.7,2.8,2.7,2.7,3.6,3.1,2.9"
"514","3.8,3.5,4.2,3.2,2.7,2.7,3.5,3.4,3.4"
"515","4.2,3.3,4.6,3.2,2.7,3.1,3.1,3.3,3.2"
"516","3.5,3.3,4.4,3.6,3.1,3.8,2.7,3.3,3.3"
"517","3.9,3.3,4.6,3.8,3.4,4.1,2.6,3.6,3.4"
"518","4.9,3.6,5,3.8,3.6,4.2,2.8,3.9,3.7"
"519","5.6,3.8,5.5,4.2,3.9,4.8,3.3,4,3.9"
"520","5,3.7,5.2,4.6,4.3,4.7,3,3.9,3.8"
"521","3.9,3.4,4.8,3.8,3.6,4.3,2.7,3.5,3.5"
"522","2.5,3.3,3.6,3.7,3.5,3.5,2.5,3.3,3.3"
"523","2.6,3.2,3.6,2.6,2.2,2.9,3,3.1,2.9"
"524","2.5,3.1,3.2,2.8,2.7,2.6,3.3,3.1,2.8"
"525","3,2.9,4.1,2.9,2.6,2.6,3.5,2.8,2.7"
"526","3.7,3.2,4.3,3.1,2.7,2.7,3.4,3,3.1"
"527","4.2,3.2,4.5,3.5,3,3.2,3.1,3.2,3.2"
"528","4.1,3.3,4.6,3.6,3.2,3.8,2.9,3.4,3.3"
"529","4.3,3.6,4.8,3.5,3.4,4.1,2.8,4,3.7"
"530","4.6,3.7,4.9,3.6,3.3,4.2,2.9,3.9,3.7"
"531","4.7,4.1,4.7,4.1,3.7,4.7,3,4.4,4.1"
"532","4.2,3.6,4.6,4.2,4,4.7,2.7,3.7,3.7"
"533","3.2,3.2,3.8,3.8,3.5,4.3,2.4,3.3,3.3"
"534","3.1,3.3,3.9,3.1,2.7,3.6,2.6,3.2,3.3"
"535","2.6,3.2,3.4,2.7,2.2,3,3.1,3.1,3"
"536","2.8,3.1,3.7,2.8,2.6,2.6,3.5,3.1,2.8"
"537","3,3.1,3.8,2.7,2.5,2.7,3.6,3.1,2.9"
"538","3.6,3.3,4,3.1,2.8,2.8,3.2,3.2,3.2"
"539","3.7,3.3,3.7,3.3,2.8,3.2,3,3.3,3.3"
"540","3.4,3.3,4.1,3.5,3.1,3.8,2.5,3.4,3.3"
"541","3.7,3.3,4.2,3.4,3.3,4.1,2.4,3.6,3.4"
"542","4.5,3.5,4.8,3.6,3.2,4.1,2.5,3.8,3.6"
"543","5.4,4.2,5,3.9,3.7,4.9,3.2,4.5,4.3"
"544","4.7,3.7,4.8,4.2,3.9,4.8,2.8,3.8,3.8"
"545","3.7,3.7,4.2,4.1,3.8,4.2,2.6,3.8,3.7"
"546","2.9,3.2,3.4,3.5,3.2,3.4,2.4,3.1,3.2"
"547","2.5,3.2,3.5,2.6,2.2,2.8,3,3.1,3"
"548","2.4,3,3.4,2.6,2.4,2.5,3.3,2.9,2.7"
"549","2.8,3,3.7,2.8,2.5,2.4,3.4,3,2.8"
"550","3.7,3.4,4.3,3.1,2.7,2.7,3.3,3.3,3.3"
"551","4.1,3.2,4.3,3.4,2.9,3.1,3.2,3.3,3.2"
"552","4.1,3.4,4.5,3.9,3.5,3.7,2.9,3.5,3.4"
"553","4.5,3.7,4.7,3.5,3.5,4.2,3,4.1,3.8"
"554","4.9,3.7,5.3,3.5,3.4,4.2,3,4,3.8"
"555","5.4,4,5.4,3.9,3.7,4.8,3.3,4.3,4.2"
"556","4.3,3.7,4.6,4.3,3.9,4.8,2.8,3.8,3.7"
"557","3.4,3.4,3.8,4.4,4.3,4.2,2.5,3.5,3.5"
"558","2.9,3.2,3.7,3.3,2.9,3.5,2.3,3.1,3.1"
"559","2.7,3.1,3.6,3.2,2.8,3.1,3.1,3.1,2.9"
"560","2.6,3.1,3.5,2.9,2.7,2.7,3.4,3,2.8"
"561","2.9,2.8,4,2.7,2.4,2.6,3.3,2.8,2.8"
"562","3.4,3.2,3.9,2.9,2.5,2.6,3.3,3.1,3.1"
"563","4.1,3.3,4.3,3.3,2.7,3.2,3.3,3.4,3.3"
"564","3.1,3.2,3.7,3.8,3.5,3.6,2.7,3.3,3.3"
"565","3.3,3.2,3.9,3.5,3.4,3.9,2.2,3.5,3.4"
"566","4.4,3.6,4.5,3.9,3.3,4.1,2.8,3.8,3.7"
"567","4.9,3.9,4.8,4.2,3.9,4.7,3,4.2,4.1"
"568","4.4,3.9,4.5,4.5,4.2,4.7,3,4,4"
"569","3.6,3.4,4.1,4,3.6,4.3,2.7,3.5,3.5"
"570","3,3.4,3.6,3.4,2.9,3.6,2.7,3.4,3.4"
"571","2.7,3,3.7,2.7,2.3,3,2.8,3,2.9"
"572","2.7,2.5,3.6,2.8,2.5,2.6,2.8,2.6,2.5"
"573","2.9,3,3.9,2.7,2.5,2.6,3.4,2.9,2.8"
"574","3.8,3.3,4.5,3.1,2.7,2.7,3.3,3.2,3.1"
"575","4.4,3.3,4.5,3.3,2.8,3.2,3.2,3.4,3.2"
"576","3.6,3.2,4.4,3.4,2.9,3.8,2.6,3.4,3.3"
"577","3.9,3.4,4.5,3.3,3.2,4.1,2.7,3.7,3.6"
"578","4.8,3.8,4.9,3.6,3.4,4,2.9,4.1,3.9"
"579","4.8,3.9,4.5,3.6,3.5,4.6,3.1,4.1,4.1"
"580","4.1,3.7,4.7,4.3,4,4.8,2.8,3.8,3.8"
"581","3.5,3.2,3.9,4,3.6,4.2,2.6,3.2,3.3"
"582","3,3.2,3.7,3.3,3,3.5,2.6,3.1,3.2"
"583","2.5,3.1,3.6,2.8,2.4,3.1,2.9,3,2.9"
"584","2.7,3.1,3.6,2.7,2.4,2.6,3.5,3,2.8"
"585","3,3,4.1,2.8,2.5,2.7,3.6,2.9,2.8"
"586","4.1,3.3,4.7,2.8,2.4,2.8,3.5,3.2,3.2"
"587","4.1,3.2,4.4,3.3,2.9,3.2,3,3.2,3.1"
"588","3.5,3.3,4.1,3.7,3.3,3.9,2.7,3.4,3.3"
"589","4.2,3.1,4.7,3.4,3.3,4.1,2.5,3.4,3.2"
"590","4.8,3.7,5.1,3.8,3.5,4.2,2.9,3.9,3.8"
"591","4.8,3.9,4.8,3.9,3.7,4.8,3.1,4.1,4"
"592","4.9,3.7,5,4.1,3.8,4.8,2.9,3.8,3.7"
"593","3.8,3.4,4.1,3.9,3.6,4.3,2.6,3.4,3.4"
"594","3.1,3.3,3.8,3.6,3.3,3.4,2.6,3.2,3.3"
"595","2.7,3.1,3.9,2.8,2.5,3,3.1,3,2.9"
"596","2.8,3.2,3.7,2.8,2.6,2.8,3.5,3.1,2.8"
"597","3,3.1,4.1,2.6,2.4,2.7,3.7,3,2.9"
"598","3.9,3.4,4.6,3.1,2.7,2.8,3.5,3.3,3.3"
"599","4.1,3.4,4.3,3.1,2.6,3,3.1,3.4,3.3"
"600","3.6,3.3,4.2,3.7,3.3,3.7,2.8,3.3,3.3"
"601","4.3,3.4,4.9,3.6,3.6,4.2,2.8,3.8,3.6"
"602","4.6,3.5,4.9,4,3.8,4.4,2.8,3.7,3.6"
"603","4.7,3.7,5,4.5,4.3,4.8,2.9,3.9,3.8"
"604","4.4,3.7,4.7,4.1,3.5,4.8,2.9,3.9,3.7"
"605","3.8,3.4,4.2,4.2,3.9,4.6,2.8,3.5,3.5"
"606","2.8,3.3,3.7,3.3,3.1,3.7,2.6,3.2,3.2"
"607","2.6,3.1,3.7,2.8,2.4,3.2,3.1,3.1,2.9"
"608","2.6,3,3.6,2.9,2.7,2.6,3.4,3,2.7"
"609","2.9,3,4,2.8,2.5,2.6,3.6,2.9,2.8"
"610","3.6,3.3,4.1,2.8,2.5,2.6,3.4,3.2,3.3"
"611","4.2,3.3,4.5,3.2,2.6,2.9,3.3,3.3,3.3"
"612","3.7,3.3,4.4,3.7,3.3,3.7,2.8,3.4,3.4"
"613","4.5,3.4,4.9,3.6,3.5,4.1,2.8,3.7,3.5"
