DAY,MONTH,YEAR,Musanze,Mombasa,Maseno,Lome,Lagos,Koulikoro,Kigali,Kayonza,Kamembe,Nairobi
16,JAN,1960,4.5,3.5,4.9,3.7,3.5,4.1,2.6,3.7,3.5,4.5
15,FEB,1960,4.7,3.6,5.1,4.2,4,4.6,2.8,3.7,3.7,4.7
16,MAR,1960,4.1,3.4,4.5,4.2,3.9,4.7,2.4,3.5,3.5,4.1
16,APR,1960,3.2,2.9,3.9,3.9,3.6,4.2,2.1,2.9,2.9,3.2
16,MAY,1960,2.9,3.1,3.6,3.5,3.3,3.5,2.4,3,3.1,2.9
16,JUN,1960,2.4,2.3,3.6,2.8,2.6,3,2.4,2.2,2.1,2.4
16,JUL,1960,2.5,2.8,3.5,2.7,2.5,2.5,3.1,2.7,2.6,2.5
16,AUG,1960,2.9,2.9,4,2.9,2.6,2.6,3.2,2.8,2.7,2.9
16,SEP,1960,3.6,3.1,4.2,3,2.7,2.7,3,3,3,3.6
16,OCT,1960,4,3.1,4.3,3.3,2.9,3.1,2.8,3.1,3,4
16,NOV,1960,3.5,3.1,4.4,3.6,3.2,3.7,2.5,3.2,3.2,3.5
16,DEC,1960,4,3.2,4.7,3.4,3.3,4.2,2.5,3.5,3.3,4
16,JAN,1961,5.1,3.4,5.5,3.6,3.3,4.1,2.6,3.7,3.5,5.1
15,FEB,1961,4.8,3.5,5.2,4.4,4.3,4.6,2.7,3.7,3.6,4.8
16,MAR,1961,4.6,3.5,5,4.6,4.4,4.8,2.6,3.6,3.6,4.6
16,APR,1961,3.5,3.2,4.3,3.9,3.6,4.1,2.4,3.3,3.3,3.5
16,MAY,1961,3.1,3.3,3.9,3.5,3.3,3.6,2.5,3.2,3.2,3.1
16,JUN,1961,2.9,3,3.9,2.7,2.5,2.9,2.9,2.9,2.7,2.9
16,JUL,1961,2.4,2.7,3.5,2.5,2.3,2.4,3,2.7,2.4,2.4
16,AUG,1961,2.6,2.7,3.7,2.9,2.7,2.5,3,2.6,2.5,2.6
16,SEP,1961,3.5,3,4,3.1,2.7,2.7,3,2.9,2.9,3.5
16,OCT,1961,3.8,2.8,4,3.5,3,3.2,2.6,2.8,2.7,3.8
16,NOV,1961,2.9,2.7,3.8,3.6,3.2,3.9,2.2,2.7,2.7,2.9
16,DEC,1961,3.5,2.9,4.2,3.5,3.6,4.2,2.2,3.2,3,3.5
16,JAN,1962,4.1,3.3,4.3,3.8,3.7,4.2,2.4,3.5,3.4,4.1
15,FEB,1962,5,4,5.1,4.4,4.3,4.7,2.9,4.2,4.1,5
16,MAR,1962,4.4,3.3,5,4.2,4,4.6,2.5,3.5,3.4,4.4
16,APR,1962,3.6,3.1,4.2,4,3.7,4,2.3,3.2,3.1,3.6
16,MAY,1962,2.9,3,3.6,3.4,3.2,3.5,2.2,2.9,2.9,2.9
16,JUN,1962,2.8,2.9,3.9,2.6,2.3,2.9,2.7,2.9,2.7,2.8
16,JUL,1962,2.7,2.9,3.7,2.6,2.4,2.6,3.2,2.8,2.6,2.7
16,AUG,1962,2.8,2.8,3.8,2.8,2.5,2.6,3.1,2.8,2.6,2.8
16,SEP,1962,3.6,3,4.1,3.1,2.7,2.7,3.1,2.9,2.9,3.6
16,OCT,1962,4,3,4.2,3.3,2.9,3.1,2.7,3,3,4
16,NOV,1962,3.7,3.2,4.4,3.3,2.8,3.5,2.6,3.3,3.2,3.7
16,DEC,1962,3.8,3.1,4.5,3.4,3.2,4,2.4,3.4,3.2,3.8
16,JAN,1963,4.4,3.3,4.7,3.3,3.1,4.5,2.6,3.6,3.4,4.4
15,FEB,1963,4.8,3.7,4.9,3.8,3.5,4.7,2.8,3.8,3.8,4.8
16,MAR,1963,4.2,3.5,4.5,4.3,3.9,4.7,2.6,3.7,3.6,4.2
16,APR,1963,3.3,2.9,3.8,3.9,3.5,4,2.3,3,3,3.3
16,MAY,1963,2.8,3,3.4,3.4,3.1,3.5,2.2,2.9,2.9,2.8
16,JUN,1963,2.6,3,3.5,2.9,2.7,3.1,2.8,2.9,2.9,2.6
16,JUL,1963,2.7,2.8,3.6,2.7,2.6,2.5,3.2,2.8,2.5,2.7
16,AUG,1963,2.9,2.9,3.8,2.8,2.6,2.5,3.3,2.8,2.7,2.9
16,SEP,1963,3.8,3.3,4.2,3.2,2.7,2.7,3.2,3.2,3.2,3.8
16,OCT,1963,4.3,3.3,4.5,3.4,2.9,3,3.1,3.3,3.3,4.3
16,NOV,1963,3.1,2.9,3.8,3.7,3.4,3.7,2.3,2.9,2.9,3.1
16,DEC,1963,3.5,3,4.2,3.5,3.4,4.3,2.3,3.2,3.1,3.5
16,JAN,1964,4.5,3.4,4.6,3.6,3.4,4.2,2.6,3.6,3.5,4.5
15,FEB,1964,4.8,3.7,5,4.3,4.1,4.8,2.8,3.8,3.8,4.8
16,MAR,1964,4.3,3.6,4.4,4.3,4,4.8,2.6,3.7,3.7,4.3
16,APR,1964,3.2,3.1,3.8,3.9,3.6,4,2.2,3.2,3.2,3.2
16,MAY,1964,2.9,3.1,3.5,3.4,3.2,3.5,2.4,3,3.1,2.9
16,JUN,1964,2.7,2.9,3.7,2.7,2.5,3,2.8,2.9,2.7,2.7
16,JUL,1964,2.6,2.8,3.5,2.6,2.4,2.5,3.1,2.7,2.4,2.6
16,AUG,1964,2.9,2.8,3.8,2.8,2.7,2.6,3.1,2.7,2.6,2.9
16,SEP,1964,3.7,3.1,4.2,3.1,2.6,2.7,3.1,2.9,3,3.7
16,OCT,1964,4.1,3,4.3,3.4,2.9,3.1,2.8,3,2.9,4.1
16,NOV,1964,3.8,3.3,4.6,3.5,3.2,3.5,2.7,3.4,3.2,3.8
16,DEC,1964,3.9,3,4.5,3.2,3.1,4,2.5,3.2,3,3.9
16,JAN,1965,4.5,3.5,4.7,3.5,3.1,4.2,2.8,3.7,3.6,4.5
15,FEB,1965,4.9,3.7,5,3.9,3.6,4.7,2.8,3.9,3.8,4.9
16,MAR,1965,4.7,3.4,5.1,4.3,4.1,4.8,2.5,3.6,3.4,4.7
16,APR,1965,3.5,3.2,4,4,3.7,4.1,2.3,3.2,3.2,3.5
16,MAY,1965,3.1,3.3,3.8,3.5,3.2,3.5,2.4,3.3,3.3,3.1
16,JUN,1965,2.9,3.2,3.8,2.8,2.5,2.9,3,3.1,2.9,2.9
16,JUL,1965,2.7,3,3.7,2.6,2.4,2.5,3.3,3,2.8,2.7
16,AUG,1965,2.9,2.9,3.9,2.8,2.6,2.6,3.2,2.8,2.7,2.9
16,SEP,1965,3.7,3.2,4.2,3.1,2.7,2.7,3.1,3.1,3.1,3.7
16,OCT,1965,3.9,3,4,3.4,3,3.2,2.8,3,3,3.9
16,NOV,1965,3.4,3.1,4.2,3.6,3.2,3.8,2.5,3.2,3.1,3.4
16,DEC,1965,3.9,3.2,4.5,3.5,3.4,4.2,2.5,3.5,3.3,3.9
16,JAN,1966,4.6,3.5,4.9,3.7,3.4,4.3,2.7,3.7,3.6,4.6
15,FEB,1966,4.6,3.5,5,4.4,4.2,4.7,2.6,3.6,3.6,4.6
16,MAR,1966,4,3.3,4.6,4.3,4.1,4.8,2.4,3.4,3.4,4
16,APR,1966,3.3,3.1,4,4,3.7,4,2.3,3.2,3.2,3.3
16,MAY,1966,3.1,3.2,3.7,3.5,3.2,3.4,2.5,3.1,3.1,3.1
16,JUN,1966,2.6,3.2,3.7,2.9,2.6,3,2.9,3.2,3,2.6
16,JUL,1966,2.5,2.9,3.7,2.8,2.7,2.7,3.1,2.8,2.5,2.5
16,AUG,1966,2.9,2.9,4,2.8,2.6,2.6,3.2,2.8,2.7,2.9
16,SEP,1966,3.7,3.2,4.3,3,2.6,2.6,3.1,3.1,3.1,3.7
16,OCT,1966,4.1,3.2,4.3,3.4,2.9,3.1,2.9,3.2,3.1,4.1
16,NOV,1966,3.6,3.1,4.5,3.4,3,3.6,2.5,3.2,3.1,3.6
16,DEC,1966,4.2,3.3,4.9,3.4,3.3,4.1,2.5,3.6,3.3,4.2
16,JAN,1967,5,3.5,5.1,4,3.9,4.1,2.7,3.8,3.5,5
15,FEB,1967,5,3.8,5.1,4.2,4,4.6,2.9,4,3.8,5
16,MAR,1967,4.7,3.6,5.1,4.2,4,4.6,2.7,3.8,3.6,4.7
16,APR,1967,3.3,3.5,3.9,3.9,3.6,4.4,2.4,3.5,3.6,3.3
16,MAY,1967,2.7,3.1,3.4,3.4,3.1,3.6,2.2,3.1,3.1,2.7
16,JUN,1967,2.5,3,3.5,2.8,2.5,2.9,2.8,3,2.8,2.5
16,JUL,1967,2.5,2.8,3.4,2.7,2.5,2.5,3.1,2.7,2.5,2.5
16,AUG,1967,2.7,2.8,3.6,2.8,2.6,2.5,3.2,2.8,2.6,2.7
16,SEP,1967,3.5,3,3.9,3.1,2.7,2.7,3,2.9,2.9,3.5
16,OCT,1967,3.9,2.9,4.1,3.3,2.9,3.1,2.8,2.9,2.9,3.9
16,NOV,1967,3.1,2.9,4,3.6,3.2,3.6,2.3,2.9,2.9,3.1
16,DEC,1967,3.8,3.2,4.4,3.2,2.9,4.1,2.4,3.5,3.3,3.8
16,JAN,1968,4.6,3.6,4.6,3.6,3.2,4.1,2.6,3.8,3.7,4.6
15,FEB,1968,4.7,3.6,4.9,3.9,3.7,4.7,2.7,3.8,3.8,4.7
16,MAR,1968,4,3.6,4.4,4.1,3.7,4.7,2.4,3.7,3.7,4
16,APR,1968,3.2,3.2,3.8,3.8,3.5,3.9,2.2,3.3,3.3,3.2
16,MAY,1968,2.9,3.2,3.5,3.5,3.2,3.5,2.3,3.1,3.1,2.9
16,JUN,1968,2.6,3,3.5,2.7,2.4,2.9,2.7,3,2.8,2.6
16,JUL,1968,2.6,2.8,3.5,2.7,2.5,2.6,3.2,2.8,2.6,2.6
16,AUG,1968,2.8,2.9,3.8,2.8,2.6,2.7,3.2,2.8,2.7,2.8
16,SEP,1968,3.8,3.3,4.3,2.9,2.5,2.7,3.3,3.2,3.2,3.8
16,OCT,1968,4.1,3.1,4.3,3.4,3,3.2,2.9,3.2,3.1,4.1
16,NOV,1968,3.3,3.2,4,3.4,3.1,3.6,2.5,3.2,3.2,3.3
16,DEC,1968,3.8,3,4.5,3.2,3.1,4,2.4,3.3,3.1,3.8
16,JAN,1969,4.5,3.2,4.9,3.6,3.5,4.2,2.5,3.4,3.2,4.5
15,FEB,1969,4.4,3.5,4.6,4.1,4,4.9,2.6,3.7,3.6,4.4
16,MAR,1969,4.1,3.3,4.6,4.2,3.9,4.6,2.5,3.5,3.3,4.1
16,APR,1969,3.8,3.4,4.4,4,3.8,4,2.6,3.5,3.5,3.8
16,MAY,1969,3,3.2,3.7,3.5,3.3,3.3,2.3,3.1,3.1,3
16,JUN,1969,2.8,3.1,3.9,2.9,2.7,2.9,2.9,3,2.9,2.8
16,JUL,1969,2.6,3,3.7,2.6,2.5,2.6,3.3,2.9,2.7,2.6
16,AUG,1969,2.9,3.1,3.8,2.8,2.7,2.6,3.4,3,2.8,2.9
16,SEP,1969,3.9,3.2,4.3,3,2.6,2.7,3.2,3.1,3.1,3.9
16,OCT,1969,4.2,3.2,4.6,3.3,2.9,3,3,3.2,3.1,4.2
16,NOV,1969,3.5,3.2,4.4,3.6,3.3,3.7,2.6,3.3,3.2,3.5
16,DEC,1969,4.1,3.3,4.8,3.3,3.3,4.4,2.6,3.5,3.4,4.1
16,JAN,1970,4.1,3.4,4.7,3.4,3,4.2,2.5,3.6,3.5,4.1
15,FEB,1970,4.7,3.7,5,4.1,3.8,4.8,2.8,3.9,3.8,4.7
16,MAR,1970,4,3.3,4.7,4.2,3.9,5,2.5,3.4,3.4,4
16,APR,1970,3.3,3.2,3.8,4,3.8,4.3,2.3,3.2,3.2,3.3
16,MAY,1970,2.9,3.2,3.5,3.4,3.2,3.6,2.4,3.1,3.1,2.9
16,JUN,1970,2.7,3.2,3.8,3,2.6,3.1,2.9,3.1,3,2.7
16,JUL,1970,2.6,2.8,3.7,2.6,2.4,2.5,3.1,2.8,2.6,2.6
16,AUG,1970,2.7,2.7,3.9,2.7,2.5,2.4,3.1,2.6,2.6,2.7
16,SEP,1970,3.7,3.1,4.1,3,2.5,2.6,3.2,3,3,3.7
16,OCT,1970,4.1,3,4.5,3.3,2.9,3.2,3,3,3,4.1
16,NOV,1970,3.7,3.3,4.7,3.6,3.3,3.8,2.6,3.5,3.4,3.7
16,DEC,1970,3.7,3.2,4.4,3.4,3.5,4.1,2.4,3.5,3.3,3.7
16,JAN,1971,4.6,3.6,4.8,3.7,3.4,4.1,2.7,3.8,3.6,4.6
15,FEB,1971,4.9,3.8,4.9,3.7,3.5,4.7,2.8,4.1,4,4.9
16,MAR,1971,4.8,3.8,4.8,4,3.6,4.8,2.8,4,3.9,4.8
16,APR,1971,3.4,3.4,4,3.9,3.6,4.3,2.3,3.5,3.5,3.4
16,MAY,1971,2.9,3.3,3.5,3.6,3.3,3.7,2.4,3.2,3.2,2.9
16,JUN,1971,2.7,3.2,3.5,2.8,2.5,3.1,3,3.2,3,2.7
16,JUL,1971,2.5,2.9,3.5,2.7,2.5,2.5,3.1,2.9,2.6,2.5
16,AUG,1971,2.8,2.8,3.9,2.5,2.3,2.5,3.2,2.8,2.7,2.8
16,SEP,1971,3.8,3.1,4.2,2.9,2.5,2.7,3.1,3.1,3,3.8
16,OCT,1971,4.1,3.1,4.3,3.4,2.9,3.2,2.9,3.1,3.1,4.1
16,NOV,1971,3.8,3.1,4.8,3.7,3.4,3.9,2.5,3.2,3.1,3.8
16,DEC,1971,3.9,3.2,4.6,3.5,3.4,3.9,2.4,3.5,3.2,3.9
16,JAN,1972,4.6,3.4,4.9,3.6,3.4,4.3,2.7,3.6,3.4,4.6
15,FEB,1972,4.5,3.5,4.6,4,3.7,4.8,2.6,3.6,3.6,4.5
16,MAR,1972,4.6,3.6,4.8,4.1,3.8,4.7,2.7,3.7,3.6,4.6
16,APR,1972,3.7,3.3,4.3,3.8,3.4,4,2.5,3.3,3.3,3.7
16,MAY,1972,2.9,3.2,3.4,3.4,3,3.4,2.3,3.1,3.1,2.9
16,JUN,1972,2.6,2.8,3.8,2.8,2.5,2.9,2.6,2.8,2.7,2.6
16,JUL,1972,2.5,2.9,3.5,2.6,2.4,2.6,3.1,2.8,2.6,2.5
16,AUG,1972,2.9,2.9,4.1,2.8,2.6,2.6,3.2,2.8,2.7,2.9
16,SEP,1972,3.8,3.3,4.1,3.1,2.6,2.8,3.2,3.2,3.2,3.8
16,OCT,1972,3.8,3.1,4,3.4,2.8,3.2,2.9,3.1,3.1,3.8
16,NOV,1972,3.2,3,4.2,3.8,3.5,3.8,2.4,3.1,3,3.2
16,DEC,1972,3.8,3.2,4.7,3.4,3.3,4.1,2.5,3.4,3.2,3.8
16,JAN,1973,4.4,3.5,4.7,3.8,3.4,4.2,2.6,3.7,3.6,4.4
15,FEB,1973,5,3.9,5,4.2,4,4.7,3,4.1,4,5
16,MAR,1973,4.9,3.8,5.2,4.4,4.1,4.6,2.9,3.8,3.8,4.9
16,APR,1973,3.5,3.4,4.2,4.1,3.8,4.4,2.6,3.4,3.4,3.5
16,MAY,1973,2.8,3.2,3.6,3.6,3.3,3.5,2.5,3.1,3.1,2.8
16,JUN,1973,2.6,3.1,3.7,2.8,2.6,3,2.8,3,2.8,2.6
16,JUL,1973,2.7,2.9,3.8,2.7,2.6,2.8,3.2,2.8,2.6,2.7
16,AUG,1973,2.8,2.9,3.9,2.7,2.5,2.5,3.2,2.8,2.7,2.8
16,SEP,1973,3.8,3.1,4.6,2.9,2.5,2.6,3,3,3,3.8
16,OCT,1973,4.3,3.3,4.8,3.3,2.9,2.9,3,3.3,3.2,4.3
16,NOV,1973,3.6,3.2,4.6,3.8,3.5,3.8,2.7,3.3,3.3,3.6
16,DEC,1973,4.1,3.4,4.9,3.2,3,4.2,2.6,3.6,3.5,4.1
16,JAN,1974,4.9,3.5,5.4,3.7,3.3,4,2.8,3.7,3.6,4.9
15,FEB,1974,5.2,3.8,5.6,4.1,3.9,4.5,2.9,3.9,3.9,5.2
16,MAR,1974,4.4,3.5,5,4.1,3.7,4.8,2.7,3.6,3.5,4.4
16,APR,1974,3.2,3.1,3.9,3.8,3.5,4.3,2.2,3.2,3.2,3.2
16,MAY,1974,2.9,3,3.8,3.4,3.1,3.5,2.3,2.9,2.9,2.9
16,JUN,1974,2.5,3,3.7,2.8,2.5,3,2.7,2.9,2.8,2.5
16,JUL,1974,2.5,2.7,3.6,2.7,2.4,2.4,2.9,2.7,2.4,2.5
16,AUG,1974,3,2.9,4,2.8,2.6,2.5,3.3,2.9,2.7,3
16,SEP,1974,3.7,3.2,4.2,2.8,2.4,2.5,3.2,3.1,3.1,3.7
16,OCT,1974,4.3,3.3,4.6,3.2,2.7,3.1,3.1,3.3,3.2,4.3
16,NOV,1974,3.7,3.3,4.5,3.6,3.3,3.6,2.6,3.4,3.4,3.7
16,DEC,1974,4.2,3.2,4.8,3.5,3.5,3.9,2.5,3.5,3.3,4.2
16,JAN,1975,4.7,3.5,5,4.2,4.1,3.9,2.6,3.8,3.6,4.7
15,FEB,1975,5.2,3.7,5.3,4,3.6,4.6,3,3.9,3.8,5.2
16,MAR,1975,4.5,3.5,4.9,4.1,3.7,4.7,2.6,3.7,3.6,4.5
16,APR,1975,3.5,3.3,4.1,3.8,3.5,4.3,2.4,3.4,3.3,3.5
16,MAY,1975,2.9,3.2,3.5,3.4,3.1,3.5,2.4,3.1,3.2,2.9
16,JUN,1975,2.5,2.8,3.5,2.8,2.4,2.9,2.7,2.8,2.7,2.5
16,JUL,1975,2.5,2.8,3.6,2.5,2.3,2.5,3,2.7,2.5,2.5
16,AUG,1975,2.7,2.7,3.8,2.6,2.3,2.5,3,2.6,2.5,2.7
16,SEP,1975,3.5,3,3.9,2.8,2.4,2.6,2.9,2.9,2.9,3.5
16,OCT,1975,4,3,4.2,3.3,2.8,3,2.7,3,3,4
16,NOV,1975,3.8,3.3,4.7,3.5,3,3.6,2.6,3.4,3.3,3.8
16,DEC,1975,4.1,3.1,4.7,3.3,3.3,4,2.4,3.4,3.2,4.1
16,JAN,1976,4.8,3.7,5.1,3.7,3.4,4.1,2.8,3.9,3.7,4.8
15,FEB,1976,4.8,3.6,5.2,3.8,3.3,4.4,2.9,3.8,3.8,4.8
16,MAR,1976,4.6,3.4,4.9,3.9,3.6,4.5,2.6,3.6,3.5,4.6
16,APR,1976,3.6,3.2,4.1,3.8,3.5,4.2,2.3,3.3,3.3,3.6
16,MAY,1976,2.9,3,3.6,3.4,3.1,3.6,2.2,3,3,2.9
16,JUN,1976,2.7,3,3.8,2.6,2.4,2.9,2.7,3,2.9,2.7
16,JUL,1976,2.6,2.8,3.7,2.6,2.4,2.5,2.9,2.7,2.5,2.6
16,AUG,1976,2.9,2.9,3.9,2.8,2.5,2.6,3.1,2.8,2.7,2.9
16,SEP,1976,3.7,3.3,4.2,3.1,2.7,2.8,3.1,3.2,3.2,3.7
16,OCT,1976,4.2,3.3,4.4,3,2.5,3.1,2.9,3.4,3.2,4.2
16,NOV,1976,3.7,3.1,4.8,3.2,2.6,3.7,2.5,3.2,3.1,3.7
